"SampleID","CRA","Error","DC13","Material","Species","Site","Phase","Type","Country","Longitude","Latitude","LocQual","Source","Comments"
"BM-1833",4780,140,NA,NA,NA,"Kalavasos-Ayious","---",NA,"Cyprus",33.3,34.74,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: sample K-Ay 6"
"BM-1834",4800,70,NA,NA,NA,"Kalavasos-Ayious","---",NA,"Cyprus",33.3,34.74,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: sample K-Ay 8"
"BM-1832",4810,45,NA,NA,NA,"Kalavasos-Ayious","---",NA,"Cyprus",33.3,34.74,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: sample K-Ay 5"
"BM-1835",10790,80,NA,NA,NA,"Kalavasos-Ayious","---",NA,"Cyprus",33.3,34.74,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: sample K-Ay 10"
"P-2549",5630,260,NA,NA,NA,"Kalavasos-Tenta","Period 5/4",NA,"Cyprus",33.3,34.76,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1987: Period 5/4, Reg. No. K-T 1"
"P-2780",5830,60,NA,NA,NA,"Kalavasos-Tenta","---",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: lower NW flanks of the site, no clear architecture was found there, not in situ? sample K-T 10"
"P-2781",6300,80,NA,NA,NA,"Kalavasos-Tenta","Perod 4late/3",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: colleted 1977 season, lower South Slope Area, mainly adjacent with Structure 9 (see plan Todd 1979, 17), sample K-T 11; Todd 1987: Period 4late/3"
"P-2977",6580,290,NA,NA,NA,"Kalavasos-Tenta","Period 2",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: sampe K-T 23, Todd 1987: Period2"
"P-2975",6970,310,NA,NA,NA,"Kalavasos-Tenta","Period >=3",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: sampe K-T 21, Todd 1987: Period >= 3"
"P-2553",7110,90,NA,NA,NA,"Kalavasos-Tenta","Period 3",NA,"Cyprus",33.3,34.76,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1987: Period 3, Reg. No. K-T 6"
"P-2779",7120,90,NA,NA,NA,"Kalavasos-Tenta","Period 4",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: colleted 1977 season, lower South Slope Area, mainly adjacent with Structure 9 (see plan Todd 1979, 17), sample K-T 9, Todd 1987: Period 4"
"P-2783",7130,410,NA,NA,NA,"Kalavasos-Tenta","Period 4",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: colleted 1977 season, lower South Slope Area, mainly adjacent with Structure 9 (see plan Todd 1979, 17), sample K-T 13, Todd 1987: Period 4"
"P-2551",7140,90,NA,NA,NA,"Kalavasos-Tenta","Period >= 3",NA,"Cyprus",33.3,34.76,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1987: Period >= 3, Reg. No. K-T 4"
"P-2550",7180,90,NA,NA,NA,"Kalavasos-Tenta","Period >=3",NA,"Cyprus",33.3,34.76,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1987: Period >= 3, Reg. No. K-T 2"
"P-2552",7250,100,NA,NA,NA,"Kalavasos-Tenta","Period 3",NA,"Cyprus",33.3,34.76,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1987: Period 3, Reg. No. K-T 5"
"P-2784",7380,100,NA,NA,NA,"Kalavasos-Tenta","Period 4late/3",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: colleted 1977 season, lower South Slope Area, mainly adjacent with Structure 9 (see plan Todd 1979, 17), sample K-T 14; Todd 1987: Period 4late/3"
"P-2978",7400,260,NA,NA,NA,"Kalavasos-Tenta","Period 4",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: sampe K-T 24; Todd 1987: Period 4"
"P-2555",7430,90,NA,NA,NA,"Kalavasos-Tenta","Period 4",NA,"Cyprus",33.3,34.76,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1987: Period 4, Reg. No. K-T 7"
"P-2782",7600,100,NA,NA,NA,"Kalavasos-Tenta","Perod 4late/3",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: colleted 1977 season, lower South Slope Area, mainly adjacent with Structure 9 (see plan Todd 1979, 17), sample K-T 12; Todd 1987: Period 4late/3"
"P-2973",8010,360,NA,NA,NA,"Kalavasos-Tenta","Period 2, Top of Site",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg. Peltenburg et al. 2000. Antiquity 74: 844-853. Peltenburg et al. 2001. Levant 33: 35-64.","Todd 1982: sample K-T 19; Peltenburg et al. 2000: Top of Site; Todd 1987: Period 2"
"P-2974",8020,90,NA,NA,NA,"Kalavasos-Tenta","Period 2, Top of Site",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg. Peltenburg et al. 2000. Antiquity 74: 844-853. Peltenburg et al. 2001. Levant 33: 35-64.","Todd 1982: sample K-T 20; Peltenburg et al. 2000: Top of Site, Todd 1987: Period 2"
"P-2548",8350,200,NA,NA,NA,"Kalavasos-Tenta","Period >= 3",NA,"Cyprus",33.3,34.76,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1987: Period >= 3, Reg. No. K-T 3"
"P-2554",8480,110,NA,NA,NA,"Kalavasos-Tenta","Period 2, Top of Site",NA,"Cyprus",33.3,34.76,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg. Peltenburg et al. 2000. Antiquity 74: 844-853. Peltenburg et al. 2001. Levant 33: 35-64.","Peltenburg et al. 2000: Top of Site; Todd 1987: Period 2, Reg. No. K-T 8"
"P-2785",8720,400,NA,NA,NA,"Kalavasos-Tenta","Period 5/4",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg. Peltenburg et al. 2000. Antiquity 74: 844-853. Peltenburg et al. 2001. Levant 33: 35-64.","Todd 1982: sampe K-T 15; Peltenburg et al. 2000: Per. 5; Todd 1987: Period 5/4"
"P-2976",8870,500,NA,NA,NA,"Kalavasos-Tenta","Period >= 3",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.","Todd 1982: sampe K-T 22, Todd 1987: Period >= 3"
"P-2972",9240,130,NA,NA,NA,"Kalavasos-Tenta","Period 5",NA,"Cyprus",33.3,34.76,"C","Todd 1982. Report of the Department of Antiquities Cyprus: 8-11. Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg. Peltenburg et al. 2000. Antiquity 74: 844-853. Peltenburg et al. 2001. Levant 33: 35-64.","Todd 1982: sample K-T 18; Peltenburg et al. 2000: Per. 5; Todd 1987: Period 5"
"Ly-4309",6230,160,NA,NA,NA,"Khirokitia","niveau G",NA,"Cyprus",33.34,34.8,"C","Le Brun 1988 (details missing); Le Brun 1998. Report of the Department of Antiquities Cyprus: 25-28.","catalogue No Kh/86 4844"
"Ly-4306",6310,170,NA,NA,NA,"Khirokitia","niveau F",NA,"Cyprus",33.34,34.8,"C","Le Brun 1988 (details missing); Le Brun 1998. Report of the Department of Antiquities Cyprus: 25-28.","catalogue No Kh/86 4819"
"Ly-3716",7000,150,NA,NA,NA,"Khirokitia","niveau C",NA,"Cyprus",33.34,34.8,"C","Le Brun 1988 (details missing); Le Brun 1998. Report of the Department of Antiquities Cyprus: 25-28.","catalogue No. Kh/84 3711"
"BM-852",7294,78,NA,NA,NA,"Khirokitia","---",NA,"Cyprus",33.34,34.8,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg. Le Brun 1988 (details missing); Le Brun 1998. Report of the Department of Antiquities Cyprus: 25-28.",NA
"BM-855",7308,74,NA,NA,NA,"Khirokitia","---",NA,"Cyprus",33.34,34.8,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg. Le Brun 1988 (details missing); Le Brun 1998. Report of the Department of Antiquities Cyprus: 25-28.",NA
"BM-854",7442,61,NA,NA,NA,"Khirokitia","---",NA,"Cyprus",33.34,34.8,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg. Le Brun 1988 (details missing); Le Brun 1998. Report of the Department of Antiquities Cyprus: 25-28.",NA
"St-416",7445,160,NA,NA,NA,"Khirokitia","---",NA,"Cyprus",33.34,34.8,"C","Stanley Price 1980 (details missing); Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg.",NA
"BM-853",7451,81,NA,NA,NA,"Khirokitia","---",NA,"Cyprus",33.34,34.8,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg. Le Brun 1988 (details missing); Le Brun 1998. Report of the Department of Antiquities Cyprus: 25-28.",NA
"Ly-4308",7470,140,NA,NA,NA,"Khirokitia","niveau F",NA,"Cyprus",33.34,34.8,"C","Le Brun 1988 (details missing); Le Brun 1998. Report of the Department of Antiquities Cyprus: 25-28.","catalogue No Kh/86 4836"
"St-414",7515,125,NA,NA,NA,"Khirokitia","---",NA,"Cyprus",33.34,34.8,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg. Le Brun 1988 (details missing); Le Brun 1998. Report of the Department of Antiquities Cyprus: 25-28.",NA
"Ly-3719",7540,180,NA,NA,NA,"Khirokitia","niveau III",NA,"Cyprus",33.34,34.8,"C","Le Brun 1988 (details missing); Le Brun 1998. Report of the Department of Antiquities Cyprus: 25-28.","catalogue No Kh/83 2858"
"St-415",7655,160,NA,NA,NA,"Khirokitia","---",NA,"Cyprus",33.34,34.8,"C","Todd 1987. Vasilikos Valley Project 6. Studies in Mediterranean Archaeology 71:6, Göteborg. Le Brun 1988 (details missing); Le Brun 1998. Report of the Department of Antiquities Cyprus: 25-28.",NA
